city,country,lat,lon,year,month,t2m,precip
Tandil,AR,-37.32,-59.13,1981,1,20.47,4.91
Tandil,AR,-37.32,-59.13,1981,2,20.46,3.19
Tandil,AR,-37.32,-59.13,1981,3,17.25,2.19
Tandil,AR,-37.32,-59.13,1981,4,14.29,2.09
Tandil,AR,-37.32,-59.13,1981,5,12.8,4.93
Tandil,AR,-37.32,-59.13,1981,6,5.89,1.08
Tandil,AR,-37.32,-59.13,1981,7,6.95,0.24
Tandil,AR,-37.32,-59.13,1981,8,8.72,0.57
Tandil,AR,-37.32,-59.13,1981,9,9.96,0.67
Tandil,AR,-37.32,-59.13,1981,10,13.38,2.46
Tandil,AR,-37.32,-59.13,1981,11,17.28,1.49
Tandil,AR,-37.32,-59.13,1981,12,20.2,3.74
Tandil,AR,-37.32,-59.13,1981,13,13.94,2.3
Tandil,AR,-37.32,-59.13,1982,1,21.53,4.53
Tandil,AR,-37.32,-59.13,1982,2,19.61,1.79
Tandil,AR,-37.32,-59.13,1982,3,19.5,3.46
Tandil,AR,-37.32,-59.13,1982,4,15.47,2.78
Tandil,AR,-37.32,-59.13,1982,5,11.3,2.56
Tandil,AR,-37.32,-59.13,1982,6,5.61,1.55
Tandil,AR,-37.32,-59.13,1982,7,5.81,1.68
Tandil,AR,-37.32,-59.13,1982,8,8.12,0.5
Tandil,AR,-37.32,-59.13,1982,9,10.84,3.17
Tandil,AR,-37.32,-59.13,1982,10,13.04,3.81
Tandil,AR,-37.32,-59.13,1982,11,15.41,2.15
Tandil,AR,-37.32,-59.13,1982,12,20.41,4.87
Tandil,AR,-37.32,-59.13,1982,13,13.86,2.75
Tandil,AR,-37.32,-59.13,1983,1,21.9,5.84
Tandil,AR,-37.32,-59.13,1983,2,19.62,2.91
Tandil,AR,-37.32,-59.13,1983,3,17.17,3.99
Tandil,AR,-37.32,-59.13,1983,4,13.23,2.46
Tandil,AR,-37.32,-59.13,1983,5,9.93,4.11
Tandil,AR,-37.32,-59.13,1983,6,5.02,0.31
Tandil,AR,-37.32,-59.13,1983,7,4.98,0.29
Tandil,AR,-37.32,-59.13,1983,8,7.65,4.05
Tandil,AR,-37.32,-59.13,1983,9,9.76,1.58
Tandil,AR,-37.32,-59.13,1983,10,13.65,4.27
Tandil,AR,-37.32,-59.13,1983,11,17.18,1.39
Tandil,AR,-37.32,-59.13,1983,12,20.06,4.21
Tandil,AR,-37.32,-59.13,1983,13,13.32,2.97
Tandil,AR,-37.32,-59.13,1984,1,21.84,2.43
Tandil,AR,-37.32,-59.13,1984,2,20.75,5.57
Tandil,AR,-37.32,-59.13,1984,3,17.16,2.4
Tandil,AR,-37.32,-59.13,1984,4,13.29,3.1
Tandil,AR,-37.32,-59.13,1984,5,8.98,3.35
Tandil,AR,-37.32,-59.13,1984,6,4.7,1.3
Tandil,AR,-37.32,-59.13,1984,7,5.36,2.62
Tandil,AR,-37.32,-59.13,1984,8,6.36,1.49
Tandil,AR,-37.32,-59.13,1984,9,10.62,2.75
Tandil,AR,-37.32,-59.13,1984,10,14.52,3.72
Tandil,AR,-37.32,-59.13,1984,11,15.83,3.97
Tandil,AR,-37.32,-59.13,1984,12,16.48,1.79
Tandil,AR,-37.32,-59.13,1984,13,12.97,2.86
Tandil,AR,-37.32,-59.13,1985,1,20.43,5.12
Tandil,AR,-37.32,-59.13,1985,2,20.86,0.92
Tandil,AR,-37.32,-59.13,1985,3,18.03,1.66
Tandil,AR,-37.32,-59.13,1985,4,13.45,3.56
Tandil,AR,-37.32,-59.13,1985,5,10.12,0.72
Tandil,AR,-37.32,-59.13,1985,6,9.04,0.63
Tandil,AR,-37.32,-59.13,1985,7,8.1,1.93
Tandil,AR,-37.32,-59.13,1985,8,8.16,0.38
Tandil,AR,-37.32,-59.13,1985,9,10.77,2.5
Tandil,AR,-37.32,-59.13,1985,10,13.39,2.94
Tandil,AR,-37.32,-59.13,1985,11,17.13,5.75
Tandil,AR,-37.32,-59.13,1985,12,19.46,3.07
Tandil,AR,-37.32,-59.13,1985,13,14.04,2.44
Tandil,AR,-37.32,-59.13,1986,1,21.76,3.19
