seas,yr,total,anom,enso_phase
DJF,1950,25.01,-1.32,la_nina
JFM,1950,25.36,-1.2,la_nina
FMA,1950,25.88,-1.12,la_nina
MAM,1950,26.24,-1.08,la_nina
AMJ,1950,26.35,-1.1,la_nina
MJJ,1950,26.32,-0.9,la_nina
JJA,1950,26.24,-0.62,la_nina
JAS,1950,25.94,-0.57,la_nina
ASO,1950,25.76,-0.56,la_nina
SON,1950,25.6,-0.62,la_nina
OND,1950,25.55,-0.66,la_nina
NDJ,1950,25.41,-0.79,la_nina
DJF,1951,25.67,-0.66,la_nina
JFM,1951,26.2,-0.36,neutral
FMA,1951,26.96,-0.04,neutral
MAM,1951,27.48,0.16,neutral
AMJ,1951,27.72,0.27,neutral
MJJ,1951,27.72,0.5,el_nino
JJA,1951,27.57,0.71,el_nino
JAS,1951,27.41,0.9,el_nino
ASO,1951,27.34,1.02,el_nino
SON,1951,27.25,1.03,el_nino
OND,1951,27.18,0.96,el_nino
NDJ,1951,26.91,0.71,el_nino
DJF,1952,26.86,0.52,el_nino
JFM,1952,26.82,0.27,neutral
FMA,1952,27.33,0.33,neutral
MAM,1952,27.5,0.18,neutral
AMJ,1952,27.38,-0.07,neutral
MJJ,1952,26.78,-0.44,neutral
JJA,1952,26.41,-0.45,neutral
JAS,1952,26.31,-0.2,neutral
ASO,1952,26.35,0.03,neutral
SON,1952,26.26,0.04,neutral
OND,1952,26.11,-0.11,neutral
NDJ,1952,26.25,0.06,neutral
DJF,1953,26.58,0.25,neutral
JFM,1953,27.06,0.5,el_nino
FMA,1953,27.48,0.48,neutral
MAM,1953,27.88,0.56,el_nino
AMJ,1953,28.22,0.77,el_nino
MJJ,1953,27.96,0.74,el_nino
JJA,1953,27.49,0.63,el_nino
JAS,1953,27.19,0.68,el_nino
ASO,1953,26.91,0.59,el_nino
SON,1953,27.0,0.78,el_nino
OND,1953,26.74,0.52,el_nino
NDJ,1953,26.76,0.56,el_nino
DJF,1954,26.74,0.41,neutral
JFM,1954,26.91,0.35,neutral
FMA,1954,27.01,0.01,neutral
MAM,1954,27.04,-0.27,neutral
AMJ,1954,26.97,-0.48,neutral
MJJ,1954,26.74,-0.48,neutral
JJA,1954,26.18,-0.67,la_nina
JAS,1954,25.68,-0.83,la_nina
ASO,1954,25.58,-0.73,la_nina
SON,1954,25.7,-0.52,la_nina
OND,1954,25.82,-0.4,neutral
NDJ,1954,25.76,-0.44,neutral
DJF,1955,25.83,-0.5,la_nina
JFM,1955,26.08,-0.48,neutral
FMA,1955,26.42,-0.58,la_nina
MAM,1955,26.56,-0.76,la_nina
AMJ,1955,26.67,-0.78,la_nina
MJJ,1955,26.34,-0.88,la_nina
JJA,1955,26.13,-0.72,la_nina
JAS,1955,25.59,-0.92,la_nina
ASO,1955,25.21,-1.11,la_nina
SON,1955,24.78,-1.44,la_nina
OND,1955,24.63,-1.59,la_nina
NDJ,1955,24.73,-1.51,la_nina
DJF,1956,25.2,-1.17,la_nina
JFM,1956,25.82,-0.81,la_nina
FMA,1956,26.47,-0.57,la_nina
MAM,1956,26.84,-0.51,la_nina
AMJ,1956,27.0,-0.49,neutral
MJJ,1956,26.81,-0.47,neutral
JJA,1956,26.37,-0.55,la_nina
JAS,1956,26.02,-0.52,la_nina
ASO,1956,25.9,-0.43,neutral
SON,1956,25.85,-0.39,neutral
OND,1956,25.87,-0.37,neutral
NDJ,1956,25.87,-0.39,neutral
DJF,1957,26.11,-0.27,neutral
JFM,1957,26.57,-0.06,neutral
FMA,1957,27.3,0.26,neutral
MAM,1957,27.99,0.63,el_nino
AMJ,1957,28.21,0.72,el_nino
MJJ,1957,28.09,0.82,el_nino
JJA,1957,27.88,0.96,el_nino
JAS,1957,27.57,1.03,el_nino
ASO,1957,27.45,1.12,el_nino
SON,1957,27.38,1.15,el_nino
OND,1957,27.63,1.39,el_nino
NDJ,1957,27.87,1.62,el_nino
DJF,1958,28.07,1.69,el_nino
JFM,1958,28.21,1.59,el_nino
FMA,1958,28.21,1.17,el_nino
MAM,1958,28.2,0.84,el_nino
AMJ,1958,28.06,0.57,el_nino
MJJ,1958,27.77,0.49,neutral
JJA,1958,27.36,0.43,neutral
JAS,1958,26.86,0.32,neutral
ASO,1958,26.61,0.28,neutral
SON,1958,26.53,0.3,neutral
OND,1958,26.6,0.36,neutral
